id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Elena;Rangel;Lola.Iglesias75@yahoo.com;repurpose withdrawal;2022-10-27T13:06:40;71697;45464
2;Gerardo;Ordóñez;ngela.Echevarra@gmail.com;withdrawal;2022-10-27T17:03:32;75289;21024
3;Teresa;Sauceda;Agustn.Correa@gmail.com;Sorprendente;2022-10-27T02:06:56;71090;65309
4;Cristina;Collazo;Andrs.Estrada@hotmail.com;reinvent orchestrate;2022-10-26T21:36:33;52820;82484
5;Caridad;Echevarría;Mariano14@hotmail.com;mobile Algodón;2022-10-27T16:14:27;13439;33970
6;Alfonso;Bañuelos;Nicols.Pacheco73@gmail.com;Indonesia herramientas;2022-10-27T01:00:39;64329;13556
7;Jorge Luis;Botello;Caridad72@yahoo.com;Descentralizado rich;2022-10-27T03:30:47;54588;45928
8;Homero;Verduzco;Esteban8@yahoo.com;payment Canarias;2022-10-27T17:34:11;3244;21747
9;Florencia;Sedillo;Santiago_Bustamante98@hotmail.com;Negro;2022-10-27T08:54:50;90189;81327
10;Agustín;Rael;Felipe79@gmail.com;Mesa Andalucía Checking;2022-10-26T21:35:00;32637;8639
